recipe_name,recipe_code,source_file,source_line_no,source_ingredient_name,source_quantity,source_unit,source_servings,upload_ingredient_name,upload_item_code,upload_quantity_for_1_serving,upload_unit,match_status,source_note
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,11,Haleem masala,150.0,g,100,MAA HALEEM MASALA 10/1KG,GR001018,1.5,g,mapped,
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,12,Turmeric powder,50.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.5,g,mapped,
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,13,Red chili powder,50.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,0.5,g,mapped,
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,14,Salt,100.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,1,g,mapped,
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,15,Lemon juice,100.0,ml,100,TFG MOONATY LEMON JUICE 12/1LTR,429366,1,ml,mapped,
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,16,Fresh coriander & mint leaves,200.0,g,100,CORIANDER LEAVES (BDL),PR000062,2,g,mapped,
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,17,Water,20.0,l,100,(TAFGA) NOVA WATER 24/0.55-0.6LTR,224894,0.2,l,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,1,Chicken,18.0,kg,100,TANMIAH FRESH CHICKEN 1/900G,205101,180,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,2,Oil or Ghee,3.5,l,100,ALMARAI BUTTER GHEE 6/1600G,242795,35,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,3,Onions,5.0,kg,100,DRY ONION (LOCAL),PR000020,50,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,4,Tomatoes,6.0,kg,100,TOMATO (ADY),PR000005,60,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,5,Yogurt,4.0,kg,100,ALMARAI LABNEH FF 1/2.75KG,DR000284,40,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,6,Fresh cream,2.0,l,100,TAFGA MARAI COOKING CREAM 12/1LTR,342384,0.02,l,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,7,Ginger paste,600.0,g,100,GINGER (CHINA),PR000019,6,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,8,Garlic paste,600.0,g,100,GARLIC  (CHINA),PR000018,6,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,9,Salt,350.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,3.5,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,10,Red chili powder,300.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,3,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,11,Turmeric powder,120.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,1.2,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,12,Coriander powder,400.0,g,100,SHAN CORIANDER POWDER  10/1KG,GR000553,4,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,13,Cumin powder,200.0,g,100,SHAN CUMIN POWDER 10/1KG,GR000583,2,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,14,Garam masala,150.0,g,100,SHAN KORMA MASALA 10/1KG,GR001943,1.5,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,15,Black pepper powder,80.0,g,100,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,185836,0.8,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,16,Cinnamon sticks,50.0,g,100,NIAZ CINNAMON STICK 1/1KG,GR003481,0.5,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,17,Green cardamom,40.0,g,100,NIAZ CARDAMON 1/1KG,GR003571,0.4,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,18,Cloves,30.0,g,100,NIAZ CLOVE WHOLE 1/1KG,GR003482,0.3,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,19,Bay leaves,20.0,g,100,TFG NIAZ BAY LEAVES 1/1KG,147040,0.2,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,20,Green chilies,500.0,g,100,GREEN CHILLI (INDIAN),PR000016,5,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,21,Fresh coriander leaves,1.5,kg,100,CORIANDER LEAVES (BDL),PR000062,15,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,22,Fresh ginger,500.0,g,100,GINGER (CHINA),PR000019,5,g,mapped,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,23,Kasuri methi,100.0,g,100,A-MEHRAN KAUSRI METHILEAVES 12/50G,276502,1,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,1,"Chicken, boneless, cubed",15.0,kg,100,TANMIAH FRESH CHICKEN 1/900G,205101,150,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,2,Yogurt,1.5,kg,100,ALMARAI LABNEH FF 1/2.75KG,DR000284,15,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,3,Ginger-garlic paste,300.0,g,100,GARLIC  (CHINA),PR000018,3,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,4,Turmeric powder,50.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.5,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,5,Red chili powder,75.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,0.75,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,6,Salt,200.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,2,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,7,"Bell peppers , chopped",5.0,kg,100,GREEN PEPPER (LBN),PR000009,50,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,8,"Onions, sliced",4.0,kg,100,DRY ONION (LOCAL),PR000020,40,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,9,"Tomatoes, chopped",4.0,kg,100,TOMATO (ADY),PR000005,40,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,10,"Green chilies, slit",250.0,g,100,GREEN CHILLI (INDIAN),PR000016,2.5,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,11,Cumin seeds,100.0,g,100,SHAN CUMIN WHOLE  10/1KG,GR000554,1,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,12,Coriander powder,200.0,g,100,SHAN CORIANDER POWDER  10/1KG,GR000553,2,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,13,Garam masala,50.0,g,100,SHAN KORMA MASALA 10/1KG,GR001943,0.5,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,14,Black pepper,25.0,g,100,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,185836,0.25,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,15,Vegetable oil,1.5,l,100,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,221871,0.015,l,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,16,"Fresh coriander leaves, chopped",500.0,g,100,CORIANDER LEAVES (BDL),PR000062,5,g,mapped,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,17,Lemon juice,250.0,ml,100,TFG MOONATY LEMON JUICE 12/1LTR,429366,2.5,ml,mapped,
Chicken Korma KBR-384 ONEGO V3,RCP-033-CHICKENKOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Korma.100 PAX.docx,1,Chicken,12.0,kg,100,TANMIAH FRESH CHICKEN 1/900G,205101,120,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,1,Bone-in chicken,15.0,kg,100,TANMIAH FRESH CHICKEN 1/900G,205101,150,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,2,Onion,3.5,kg,100,DRY ONION (LOCAL),PR000020,35,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,3,Tomato puree,3.0,kg,100,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,381887,30,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,4,Yogurt,2.0,kg,100,ALMARAI LABNEH FF 1/2.75KG,DR000284,20,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,5,Oil / Ghee,700.0,ml,100,ALMARAI BUTTER GHEE 6/1600G,242795,7,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,6,Ginger-garlic paste,700.0,g,100,GARLIC  (CHINA),PR000018,7,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,7,Turmeric powder,80.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.8,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,8,Red chili powder,80.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,0.8,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,9,Coriander powder,200.0,g,100,SHAN CORIANDER POWDER  10/1KG,GR000553,2,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,10,Garam masala,90.0,g,100,SHAN KORMA MASALA 10/1KG,GR001943,0.9,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,11,Bay leaves,10.0,pieces,100,TFG NIAZ BAY LEAVES 1/1KG,147040,0.02,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,12,Cinnamon sticks,20.0,g,100,NIAZ CINNAMON STICK 1/1KG,GR003481,0.2,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,13,Green cardamom,20.0,g,100,NIAZ CARDAMON 1/1KG,GR003571,0.2,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,14,Salt,220.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,2.2,g,mapped,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,15,Fresh coriander leaves,300.0,g,100,CORIANDER LEAVES (BDL),PR000062,3,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,1,Chicken,12.0,kg,100,TANMIAH FRESH CHICKEN 1/900G,205101,120,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,2,Fresh spinach,8.0,kg,100,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,139837,80,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,3,Onion,2.5,kg,100,DRY ONION (LOCAL),PR000020,25,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,4,Tomato,2.0,kg,100,TOMATO (ADY),PR000005,20,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,5,Green chili,200.0,g,100,GREEN CHILLI (INDIAN),PR000016,2,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,6,Ginger-garlic paste,500.0,g,100,GARLIC  (CHINA),PR000018,5,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,7,Turmeric powder,80.0,g,100,SHAN TURMERIC POWDER  10/1KG,GR000043,0.8,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,8,Red chili powder,120.0,g,100,SHAN RED CHILLI POWDER 10/1KG,GR000042,1.2,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,9,Coriander powder,200.0,g,100,SHAN CORIANDER POWDER  10/1KG,GR000553,2,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,10,Cumin powder,120.0,g,100,SHAN CUMIN POWDER 10/1KG,GR000583,1.2,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,11,Garam masala,100.0,g,100,SHAN KORMA MASALA 10/1KG,GR001943,1,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,12,Salt,300.0,g,100,TAFGA REHAN SALT IODIZED 24/700G,166780,3,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,13,Bay leaves,20.0,g,100,TFG NIAZ BAY LEAVES 1/1KG,147040,0.2,g,mapped,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,14,Cinnamon sticks,30.0,g,100,NIAZ CINNAMON STICK 1/1KG,GR003481,0.3,g,mapped,
