recipe_name,recipe_code,matched_source_file,source_servings,source_ingredient_count,upload_ingredient_count,missing_master_count,match_score,name_similarity,token_overlap,needs_review
Arabic Foul Medames KBR-384 ONEGO V3,RCP-039-ARABICFOUL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Arabic Foul Medames.100 pax.docx,100,10,10,1,2.15,1.0,1.0,YES
Chickpeas Masala KBR-384 ONEGO V3,RCP-040-CHICKPEASM-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Chickpeas Masala.100 PAX.docx,100,15,15,0,2.15,1.0,1.0,
Daal Lobia KBR-384 ONEGO V3,RCP-041-DAALLOBIA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Daal Lobia.100 PAX.docx,100,12,12,0,2.15,1.0,1.0,
Dal Chana Fry (Dall 2) KBR-384 ONEGO V3,RCP-042-DALCHANAFR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Chana Fry.100 pax.docx,100,15,15,0,2.15,1.0,1.0,
Dal Makhni KBR-384 ONEGO V3,RCP-043-DALMAKHNI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Makhni.100 pax.docx,100,4,4,0,2.15,1.0,1.0,
Dal Mash Fry KBR-384 ONEGO V3,RCP-044-DALMASHFRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,100,14,14,0,2.15,1.0,1.0,
Dal Masoor (Dall 2) KBR-384 ONEGO V3,RCP-045-DALMASOOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dal Masoor.100 pax.docx,100,12,12,0,2.15,1.0,1.0,
Dall Chana100 pax KBR-384 ONEGO V3,RCP-046-DALLCHANA1-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Chana100 pax .docx,100,14,14,0,2.15,1.0,1.0,
Dall Makhni Mix KBR-384 ONEGO V3,RCP-047-DALLMAKHNI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Makhni Mix 100 pax .docx,100,11,11,0,2.15,1.0,1.0,
Dall Mash KBR-384 ONEGO V3,RCP-048-DALLMASH-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dal Mash Fry.100 pax.docx,100,14,14,0,1.0119,0.7619,0.25,
Dall Mongo KBR-384 ONEGO V3,RCP-049-DALLMONGO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Dall\Dall Mongo Recipe. 100 pax.docx,100,13,13,0,2.15,1.0,1.0,
Baked Lemon Butter fillet fish KBR-384 ONEGO V3,RCP-050-BAKEDLEMON-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Baked Lemon Butter fillet fish 100 pax.docx,100,10,10,1,2.15,1.0,1.0,YES
Fish Curry KBR-384 ONEGO V3,RCP-051-FISHCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fish Curry 100 pax .docx,100,16,16,0,2.15,1.0,1.0,
Fried Finger Fish KBR-384 ONEGO V3,RCP-052-FRIEDFINGE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Fried Finger Fish.100 pax.docx,100,16,16,0,2.15,1.0,1.0,
Grilled Fish Fillet KBR-384 ONEGO V3,RCP-053-GRILLEDFIS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Fish\Grilled Fish Fillet. 100 pax.docx,100,15,15,1,2.15,1.0,1.0,YES
Allo Gosht KBR-384 ONEGO V3,RCP-054-ALLOGOSHT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Allo Gosht.100 pax.docx,100,7,7,0,2.15,1.0,1.0,
Mutton Biryani KBR-384 ONEGO V3,RCP-055-MUTTONBIRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Biryani. 100 pax.docx,100,20,20,0,2.15,1.0,1.0,
Mutton Curry KBR-384 ONEGO V3,RCP-056-MUTTONCURR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Curry Recipe.100 pax.docx,100,22,22,2,2.15,1.0,1.0,YES
Mutton Korma KBR-384 ONEGO V3,RCP-057-MUTTONKORM-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton Korma Recipe. 100 pax.docx,100,17,17,1,2.15,1.0,1.0,YES
Mutton Kadai KBR-384 ONEGO V3,RCP-058-MUTTONKADA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Meat\Mutton_Kadai_100_Pax.docx,100,16,16,0,2.15,1.0,1.0,
Pasta ala normah KBR-384 ONEGO V3,RCP-059-PASTAALANO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Pasta ala normah Ingredients.100 pax.docx,100,11,11,0,2.15,1.0,1.0,
Pasta with Tomato Sauce KBR-384 ONEGO V3,RCP-060-PASTAWITHT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Pasta with Tomato Sauce.100 pax.docx,100,14,14,0,2.15,1.0,1.0,
Penne pasta KBR-384 ONEGO V3,RCP-061-PENNEPASTA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Penne pasta Ingredients.100 pax.docx,100,13,13,0,2.15,1.0,1.0,
Vegetable Noodles KBR-384 ONEGO V3,RCP-062-VEGETABLEN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Pasta\Vegetable Noodles.100 pax.docx,100,14,14,1,2.15,1.0,1.0,YES
