item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
OPERSUPPLY,235499,235499,AR # KLEENEX TT 500 SHTS-ARAMCO 8/12ROLL,PAK,22.000068,100,0,none,,,
OPERSUPPLY,235591,235591,TOILET BRUSH WITH STAND 1/EA,EA,4.66,100,0,none,,,
OPERSUPPLY,237694,237694,TAFGA DUST PAN W/BRUSH LONG HNDL 1/EA,EA,9.8,100,0,none,,,
OPERSUPPLY,238216,238216,FACE MASK EAR LOOP 3PLY GREN/BLUE 1/50CT,PAK,2.89855757575758,100,0,none,,,
OPERSUPPLY,240013,240013,TAFGA PLEDGE F/POLISH NATURAL 12/300ML,EA,9.58333333333333,100,0,none,,,
OPERSUPPLY,242108,242108,KLEENEX FT COMFORT TOUCH 36/70 -100CT,PAK,2.16696790830946,100,0,none,,,
GROCERY,242795,242795,ALMARAI BUTTER GHEE 6/1600G,EA,35.9059642857143,100,120,milk,,,
OPERSUPPLY,248759,248759,ORINX/JAMA VINYL GLV PWD FRE LR 10/100CT,PAK,5.655726,100,0,none,,,
CHEMICAL,254320,254320,TAFGA ARIEL DETERGENTS HS MB 4/3KG,EA,24.9521019607843,100,120,none,,,
GROCERY,255114,255114,A-UJAJ ROCK COOKING SALT 1/50KG,KG,0.46,100,120,none,,,
GROCERY,262233,262233,TAFGA NESCAFE CLASIC COFFEE 12/200G,EA,19.44125,100,120,none,,,
GROCERY,262241,262241,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,EA,8.75967803030303,100,120,none,,,
GROCERY,262511,262511,TAFGA GOODY MACARONI ELBOW #33 24/500G,EA,4.30231043956044,100,120,none,,,
OPERSUPPLY,263304,263304,TAFGA AL SHARQIA CHARCOAL 1/4KG,CS,20.0127739130435,100,0,none,,,
GROCERY,265809,265809,GOODY FETTUCCINI 24/450G,EA,12.6825,100,120,none,,,
GROCERY,266115,266115,A-TFG MAMIA ROSE WATER 12/430ML,EA,1.7503825,100,120,none,,,
CHEMICAL,267425,267425,TAFGA PIF PAF INSECT KILLER 12/300ML,EA,5.67563333333333,100,120,none,,,
GROCERY,267491,267491,TAFGA CH/GARDEN MIXED PICKLE 12/1KG,EA,9.91666842105263,100,120,none,,,
SEAFOOD,267650,267650,MAWASIM/GOLDEN LT MEAT TUNA 48/160G,EA,2.66678621212121,70,250,fish,,,
CHEMICAL,270297,270297,TAFGA FLASH PLUS BOWL CLEANER 12/1000ML,EA,3.16666323529412,100,120,none,,,
GROCERY,271485,271485,TAFGA MAWASIM/BADAR TEA BAG 36/100CT,PAK,5.36111666666667,100,120,none,,,
BAKERY,272674,272674,FONTE BREAD CRUMBS 1/500G,EA,4.5,100,364,wheat,,,
GROCERY,273104,273104,A-AFFCO FISH SAUCE 12/700ML,EA,4.58334864864865,80,206,fish,,,
SEAFOOD,275412,275412,TAFGA KFS TALAPIA CLEAN 1/KG,KG,9.05103666666667,100,120,none,,,
OPERSUPPLY,275415,275415,TAMIMI DOUBLE WALL CUP 10Z DES-3 1/500CT,EA,0.19,100,0,none,,,
GROCERY,275514,275514,TAFGA GOODY VERMICELLI CUT 24/500G,EA,4.27583611111111,100,120,none,,,
GROCERY,275516,275516,A-TAFGA GOODY P/NUT BTR CRMY 12/340G,EA,10.2825373626374,100,120,tree nuts,,,
GROCERY,275700,275700,A-TFGA MEHRAN BIRIYANI POWDER 48/50G,EA,3.95837948717949,100,120,none,,,
GROCERY,275962,275962,TAFGA GOODY MAYONNAISE 12/32Z,EA,19.921475,100,120,eggs,,,
GROCERY,276502,276502,A-MEHRAN KAUSRI METHILEAVES 12/50G,EA,1.66796292134831,100,120,none,,,
GROCERY,279340,279340,A-TFGA MEHRAN TIKKA MASALA 12/50G,EA,3.66667115384615,100,120,none,,,
OPERSUPPLY,279433,279433,TAFGA SUFRA MEDIUM 10/30CT,PAK,2.810585,100,0,none,,,
GROCERY,279694,279694,AL MARAI EXTRA VIRGIN OLIVE OIL 12/500ML,EA,27,100,884,none,,,
CHEMICAL,279994,279994,TFGA WHITE DETERGENT POWDER 1/25KG,EA,72.0109739130435,100,120,none,,,
GROCERY,280423,280423,A-TAFGA HB MIXED FRUITS JAM 12/400G,EA,8.73,90,282,none,,,
OPERSUPPLY,280902,280902,TAFGA CHAFFING FUEL ADJUST/WICK 1/24EA,EA,2.66666666666667,100,0,none,,,
GROCERY,283518,283518,TAFGA KELLOGS CORN FLAKES 8/1KG,EA,19.9486282051282,100,120,none,,,
OPERSUPPLY,284926,284926,TAFGA FABRIC SOFTNER 8/2LT,EA,10.25529125,100,0,none,,,
GROCERY,285358,285358,EASTERN KABSA SPICE MIX 24/200G,EA,11.63045,100,120,none,,,
GROCERY,307316,307316,TFGA ADELCO CHICK PEAS PWDR INDIA 1/15KG,KG,4.21372416666667,100,120,none,,,
POULTRY,307852,307852,AL KABEER CHICKEN BURGER BIG 8/1200G,EA,28.75,75,165,none,,,
MEAT,307970,307970,AL KABEER BEEF BURGER ONN BIG 8/1200G,EA,25,70,250,none,,,
OPERSUPPLY,315827,315827,ALUMINUM FOIL CONT. #1135.400/CT,EA,0.35,100,0,none,,,
CHEMICAL,330261,330261,GENTO DISINFECTANT FLOWER 6/3LTR,EA,12.1666661016949,100,120,none,,,
CHEMICAL,332791,332791,TAFGA CHLORINE TABLETS 6/200CT,PAK,120,100,120,none,,,
DAIRY,342384,342384,TAFGA MARAI COOKING CREAM 12/1LTR,EA,19.7,100,120,milk,,,
CHEMICAL,343925,343925,TAFGA DOVE SOAP 72/75G,EA,2.97545916666667,100,120,none,,,
BEVERAGES,345557,345557,BERAIN MINERAL WATER 2/12LTR,EA,5,100,120,none,,,
POULTRY,357255,357255,ADDOHA FRESH CHICKEN WHOLE IN BAG 1/900G,EA,13.4,75,165,none,,,
OPERSUPPLY,360324,360324,TAFGA VVIP CUTLRY  8PC CLEAR 1/400CT,EA,0.500365,100,0,none,,,
GROCERY,367022,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,EA,8.75045,100,120,none,,,
GROCERY,367989,367989,TAFGA TOMEX FROZEN CAULIFLOWER 4/2.5KG,EA,16.23,100,120,none,,,
GROCERY,368547,368547,AFIA SUNFLOWER OIL 4/2.9LTR,EA,32.9997487179487,100,884,none,,,
GROCERY,369548,369548,TAFGA TANG MANGO 6/2 KG,EA,39.09585,100,120,none,,,
