recipe_name,recipe_code,source_file,removed_ingredient_name,removed_item_code,removed_quantity,removed_unit,reason
Egg Curry KBR-384 ONEGO V3,RCP-021-EGGCURRY-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\Egg_Curry_Recipe_100_Servings.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,350.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
French Toast KBR-384 ONEGO V3,RCP-022-FRENCHTOAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\French Toast Recipe.01 pax.docx,EGGPANT (BIG),PR000012,1.0,pieces,Replaced by source ingredient: SAEDCO FRESH EGGS MEDIUM 12/30 CT
French Toast KBR-384 ONEGO V3,RCP-022-FRENCHTOAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\French Toast Recipe.01 pax.docx,NZMP WHOLE MILK POWDER 1/25KG,GR001426,60.0,ml,Replaced by source ingredient: AL MARAI UHT MILF FF 12/1LTR
Butter Chicken KBR-384 ONEGO V3,RCP-024-BUTTERCHIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Butter Chicken Recipe.100 pax.docx,AFIA SUNFLOWER OIL 4/2.9LTR,368547,1.0,l,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Butter Chicken KBR-384 ONEGO V3,RCP-024-BUTTERCHIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Butter Chicken Recipe.100 pax.docx,AL MARAI UHT MILF FF 12/1LTR,DR000005,2.5,l,Replaced by source ingredient: TAFGA MARAI COOKING CREAM 12/1LTR
Butter Chicken KBR-384 ONEGO V3,RCP-024-BUTTERCHIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Butter Chicken Recipe.100 pax.docx,SHAN CORIANDER POWDER  10/1KG,GR000553,500.0,g,Replaced by source ingredient: CORIANDER LEAVES (BDL)
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,250.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,TAFGA MAGGI CUBES CHICKEN 24/24/20G,102426,18.0,kg,Replaced by source ingredient: TANMIAH FRESH CHICKEN 1/900G
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,350.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,4.0,kg,Replaced by source ingredient: TOMATO (ADY)
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,AFIA SUNFLOWER OIL 4/2.9LTR,368547,4.0,l,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Chicken Biryani KBR-384 ONEGO V3,RCP-025-CHICKENBIR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Biryani Recipe.100 pax.docx,NZMP WHOLE MILK POWDER 1/25KG,GR001426,2.0,l,Replaced by source ingredient: AL MARAI UHT MILF FF 12/1LTR
Chicken Broasted KBR-384 ONEGO V3,RCP-026-CHICKENBRO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Broasted Recipe.100 pax -.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,300.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Chilli KBR-384 ONEGO V3,RCP-027-CHICKENCHI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,200.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Chilli KBR-384 ONEGO V3,RCP-027-CHICKENCHI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,AFIA SUNFLOWER OIL 4/2.9LTR,368547,4.0,l,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Chicken Chilli KBR-384 ONEGO V3,RCP-027-CHICKENCHI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,EASTERN GARLIC POWDER 24/200G,401030,500.0,g,Replaced by source ingredient: GARLIC  (CHINA)
Chicken Chilli KBR-384 ONEGO V3,RCP-027-CHICKENCHI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Chilli Recipe.100 pax.docx,A-(TAFGA) AFFCO SWEET CORN 6/3KG,199838,1.5,l,Replaced by source ingredient: Chili sauce
Chicken Curry KBR-384 ONEGO V3,RCP-028-CHICKENCUR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Curry Recipe.100 pax.docx,TAFGA MAGGI CUBES CHICKEN 24/24/20G,102426,18.0,kg,Replaced by source ingredient: TANMIAH FRESH CHICKEN 1/900G
Chicken Curry KBR-384 ONEGO V3,RCP-028-CHICKENCUR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Curry Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,250.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Chicken Curry KBR-384 ONEGO V3,RCP-028-CHICKENCUR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Curry Recipe.100 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,4.0,kg,Replaced by source ingredient: TOMATO (ADY)
Chicken Grilled with Lemon Sauce KBR-384 ONEGO V3,RCP-029-CHICKENGRI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Grilled with Lemon Sauce.100 pax.docx,TFG AMERICANA LOCAL CHICKEN BREAST1/10KG,180259,100.0,pieces,Replaced by source ingredient: TANMIAH FRESH CHICKEN 1/900G
Chicken Grilled with Lemon Sauce KBR-384 ONEGO V3,RCP-029-CHICKENGRI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Grilled with Lemon Sauce.100 pax.docx,EASTERN GARLIC POWDER 24/200G,401030,100.0,g,Replaced by source ingredient: GARLIC  (CHINA)
Chicken Grilled with Lemon Sauce KBR-384 ONEGO V3,RCP-029-CHICKENGRI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Grilled with Lemon Sauce.100 pax.docx,EASTERN GARLIC POWDER 24/200G,401030,50.0,g,Replaced by source ingredient: GARLIC  (CHINA)
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,ALMARAI BUTTER GHEE 6/1600G,242795,500.0,g,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,100.0,g,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
