source_sheet,source_row,item_code,ingredient_name,quantity,unit,unit_cost,amount,status
Sheet1,62,132875,TFGA CUSTARD POWDER 24/450G,42,EA,7.27551,305.5714,converted
Sheet1,63,132925,GARLIC CUPS DISP WATNIA 20/100CT,68,PAK,3.383235,230.06,converted
Sheet1,64,133054,ELKEIF THAI CHILLI WHOLE 1/5KG,5,KG,25,125,converted
Sheet1,65,133106,BASHAYER PAK VERMICELLI 48/150G,497,EA,0.880132,437.4254,converted
Sheet1,66,133501,A-GLORIA SAN HOT SAUCE 36/3Z,227,EA,0.919458,208.717,converted
Sheet1,67,138855,A-FOOM WHEAT FLOUR 1/45KG,405,KG,0.788889,319.5,converted
Sheet1,68,139287,MELLOW PULSE LENTIL BROWN WHOLE 1/15KG,0,KG,0,-40.4762,converted
Sheet1,69,139364,A-TAFGA MELLOW URID DAL 1/15KG,435,KG,6.798457,2957.329,converted
Sheet1,70,139374,TAFGA PARMEL RICE 1/40KG,0,KG,0,22.82,converted
Sheet1,71,139554,A-AL AMC CORN STARCH 1/25KG,75,KG,2.5996,194.97,converted
Sheet1,72,139779,A-TFG TOMEX BELGIUM VEG BROCOLLI 4/2.5KG,12,EA,23.090125,277.0815,converted
Sheet1,73,139791,A-GEKO FRENCH FRIES SIZE 9X9 4/2.5KG,40,EA,11.859375,474.375,converted
Sheet1,74,139799,VEG FROGEL CAULIFLOWER 1/10KG,0,CS,0,-0.0176,converted
Sheet1,75,139837,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,7,PAK,13.500014,94.5001,converted
Sheet1,76,139845,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,7,EA,28.202643,197.4185,converted
Sheet1,77,139860,A-ADELCO BURGHUL (FINE)1/15KG,10,KG,3.6,36,converted
Sheet1,78,139862,OBA SEMOLINA 1/15KG,75,KG,4,300,converted
Sheet1,79,139868,AAA WHITE THAI RICE 1/40KG,1840,KG,2.999164,5518.4612,converted
Sheet1,80,140068,A-88 RED KIDNEY BEANS 1/15KG,285,KG,8.633822,2460.6392,converted
Sheet1,81,142007,A-MELLOW PULSE RED LENTIL 1/15KG,300,KG,4.399432,1319.8295,converted
Sheet1,82,145008,A-TAFGA REHAN JELLY S/BERRY 4/3KG,2,EA,25,50,converted
Sheet1,83,147040,TFG NIAZ BAY LEAVES 1/1KG,3,CS,15.260333,45.781,converted
Sheet1,84,147042,AL NASEEL TAFGA P/P WALNUT 1/1KG,1,CS,40.5726,40.5726,converted
Sheet1,85,147047,TFG NIAZ LEMON DRY 1/1KG,6,CS,14.7425,88.455,converted
Sheet1,86,153319,MAWASIM SARDINES TOM/SCE 100/155G,427,EA,2.280014,973.5661,converted
Sheet1,87,154783,TAFGA SB FRENCH FRIES 4/2.5KG,6,EA,13.56375,81.3825,converted
Sheet1,88,155583,A-TAFGA ADELCO HAREES TURKEY 1/10KG,40,KG,4.310557,172.4223,converted
Sheet1,89,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,18,EA,23.91885,430.5393,converted
Sheet1,90,166780,TAFGA REHAN SALT IODIZED 24/700G,12,EA,0.79,9.48,converted
Sheet1,91,174476,AFCO COCONUT MILK POWDER 12/300G,72,EA,9.580833,689.82,converted
Sheet1,92,176065,AL OSRA SUGAR FINE 10/2KG,18,EA,7.235844,130.2452,converted
Sheet1,93,179312,(TAFGA) MAWASIM KETCHUP 24/340G,252,EA,2.275539,573.4358,converted
Sheet1,94,179550,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,121,EA,4.100905,496.2095,converted
Sheet1,95,180576,TAFGA CAMEL PICKLE MIXED 12/400G,110,EA,5.333775,586.7152,converted
