source_sheet,source_row,item_code,ingredient_name,beginning_qty,received_qty,issued_qty,ending_qty,uploaded_quantity,unit,uploaded_unit_cost,amount,item_group,status
Sheet1,292,134696,DOUX CHICKEN FROZEN 10/900G,0,0,0,0,0,EA,0,94.2883,POULTRY,converted
Sheet1,293,142110,SAEDCO FRESH EGGS MEDIUM 12/30 CT,454,0,-35,419,419,PAK,12.989999,5442.8094,POULTRY,converted
Sheet1,294,179446,TAFGA CHICKEN WINGS 1/5KG,95,0,0,95,95,KG,6.5,617.5,POULTRY,converted
Sheet1,295,180259,TFG AMERICANA LOCAL CHICKEN BREAST1/10KG,242.5,0,0,242.5,242.5,KG,17.238869,4180.4257,POULTRY,converted
Sheet1,296,182833,A-TAFGA AMERICANA CHICKEN FRANK 24/340G,203,0,-35,168,168,EA,2.494907,419.1443,POULTRY,converted
Sheet1,297,189015,TAFGA LOCAL TANMIAH CHICKEN 10/900G,1110,0,-255,855,855,EA,11.838,10121.49,POULTRY,converted
Sheet1,298,205101,TANMIAH FRESH CHICKEN 1/900G,6,0,0,6,6,EA,14,84,POULTRY,converted
Sheet1,299,307852,AL KABEER CHICKEN BURGER BIG 8/1200G,38,0,0,38,38,EA,28.75,1092.5,POULTRY,converted
Sheet1,300,357255,ADDOHA FRESH CHICKEN WHOLE IN BAG 1/900G,210,0,-10,200,200,EA,13.4,2680,POULTRY,converted
Sheet1,301,398635,ZAMIL CHICKEN FRANKS 24/340G,0,0,0,0,0,EA,0,0.9308,POULTRY,converted
Sheet1,302,PR000002,CABBAGE (LOCAL),9,30,-9,30,30,KG,2.5,75,PRODUCE,converted
Sheet1,303,PR000005,TOMATO (ADY),50,242,-50,242,242,KG,3,726,PRODUCE,converted
Sheet1,304,PR000009,GREEN PEPPER (LBN),3,12,-3,12,12,KG,5,60,PRODUCE,converted
Sheet1,305,PR000010,CUCUMBER (ADY),40,150,-40,150,150,KG,3,450,PRODUCE,converted
Sheet1,306,PR000012,EGGPANT (BIG),6,22,-6,22,22,KG,2.5,55,PRODUCE,converted
Sheet1,307,PR000014,MARROW (BIG),20,60,-20,60,60,KG,3,180,PRODUCE,converted
Sheet1,308,PR000016,GREEN CHILLI (INDIAN),7,20,-7,20,20,KG,8,160,PRODUCE,converted
Sheet1,309,PR000018,GARLIC (CHINA),11,32,-11,32,32,KG,6,192,PRODUCE,converted
Sheet1,310,PR000019,GINGER (CHINA),12,40,-12,40,40,KG,6,240,PRODUCE,converted
Sheet1,311,PR000020,DRY ONION (LOCAL),82,296,-82,296,296,KG,4,1184,PRODUCE,converted
Sheet1,312,PR000022,POTATO (LOCAL),87,300,-87,300,300,KG,2.5,750,PRODUCE,converted
Sheet1,313,PR000024,YELLOW PUMPKUIN,2,8,-2,8,8,KG,3,24,PRODUCE,converted
Sheet1,314,PR000026,CARROT (AUSTALIA/CHINA),17,50,-17,50,50,KG,6,300,PRODUCE,converted
Sheet1,315,PR000027,LONG MARROW,30,90,-30,90,90,KG,3,270,PRODUCE,converted
Sheet1,316,PR000030,BITTERGOURD (LOCAL),9,25,-9,25,25,KG,7,175,PRODUCE,converted
Sheet1,317,PR000031,GREEN BEANS,0,16,0,16,16,KG,8,128,PRODUCE,converted
Sheet1,318,PR000032,CAULIFLOWER (LOCAL),10,35,-10,35,35,KG,3,105,PRODUCE,converted
