site,warehouse,item_code,ingredient_name,quantity,unit,unit_cost,reorder_level,status,item_group,amount
KBR,KBR-384,134213,MUTTON CARCASS UNDER 20 1/1KG,693.51,KG,27.6117,0,in_stock,MEAT,19148.99
KBR,KBR-384,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,394,KG,21.068218,0,in_stock,MEAT,8300.8777
KBR,KBR-384,307970,AL KABEER BEEF BURGER ONN BIG 8/1200G,42,EA,25,0,in_stock,MEAT,1050
KBR,KBR-384,MT000237,FROZ BEEF FEET 1/1KG(NATURA FRIG),40,KG,8.408785,0,in_stock,MEAT,336.3514
KBR,KBR-384,115918,A-TFG DAIM/ORINEX CUTRIT WAX PPR 24/75SQFT,12,EA,5.883342,0,in_stock,OPERSUPPLY,70.6001
KBR,KBR-384,116248,TAFGA GULF PLASTIC TRAY #3 20/50CT,36,PAK,6.480833,0,in_stock,OPERSUPPLY,233.31
KBR,KBR-384,116281,PLASCO ROUND PLATE #22 10/50CT,10,PAK,8.5,0,in_stock,OPERSUPPLY,85
KBR,KBR-384,132767,KITCHEN CLOTH TOWEL 1/12CT,72,EA,1.073821,0,in_stock,OPERSUPPLY,77.3151
KBR,KBR-384,132774,MOP HEAD 24Z 1/EA,2,EA,9.8,0,in_stock,OPERSUPPLY,19.6
KBR,KBR-384,132777,MOP HANDLE (METAL) 1/EA,10,EA,13.59077,0,in_stock,OPERSUPPLY,135.9077
KBR,KBR-384,132779,NIBCO HAND BRUSH (SOFT) 1/EA,3,EA,4.900533,0,in_stock,OPERSUPPLY,14.7016
KBR,KBR-384,132784,HARD BROOM W/STICK(18IN) 1/EA,4,EA,8.924425,0,in_stock,OPERSUPPLY,35.6977
KBR,KBR-384,132785,"HERO BLACK SOFTBROOM W/STK 16"" 1/EA",6,EA,11.76045,0,in_stock,OPERSUPPLY,70.5627
KBR,KBR-384,132791,GLOVE DISP 100/100CT,376,PAK,1.506823,0,in_stock,OPERSUPPLY,566.5655
KBR,KBR-384,132795,RUBBER WIPER 45CM 1/EA,8,EA,9.800075,0,in_stock,OPERSUPPLY,78.4006
